Rank,Club,Country,Level,Elo,From,To
None,Crvena Zvezda,SRB,1,1583.55407715,2025-10-27,2025-11-06
None,Koeln,GER,1,1583.16345215,2025-10-26,2025-11-06
None,Leganes,ESP,2,1582.02514648,2025-10-26,2025-11-06
None,Lorient,FRA,1,1581.74523926,2025-10-27,2025-10-29
None,Ipswich,ENG,2,1580.32250977,2025-10-26,2025-11-06
None,Middlesbrough,ENG,2,1576.95178223,2025-10-26,2025-11-06
None,Verona,ITA,1,1572.3338623,2025-10-27,2025-10-29
None,Las Palmas,ESP,2,1569.58544922,2025-10-25,2025-11-06
None,St Pauli,GER,1,1568.9498291,2025-10-26,2025-11-06
None,Lecce,ITA,1,1567.21643066,2025-10-26,2025-10-28
None,Anderlecht,BEL,1,1565.92382812,2025-10-25,2025-11-06
None,Hamburg,GER,1,1565.78967285,2025-10-26,2025-11-06
None,Cremonese,ITA,1,1565.64160156,2025-10-26,2025-10-29
None,Le Havre,FRA,1,1563.93395996,2025-10-27,2025-10-29
None,Karabakh Agdam,AZE,0,1561.56445312,2025-10-23,2025-11-05
None,Oviedo,ESP,1,1561.52954102,2025-10-26,2025-11-06
None,Viking,NOR,1,1561.4831543,2025-10-26,2025-11-06
None,Brondby,DEN,1,1560.17858887,2025-10-24,2025-10-27
None,Bristol City,ENG,2,1559.9329834,2025-10-26,2025-11-06
None,Brann,NOR,1,1555.35583496,2025-10-27,2025-11-06
None,Spartak Moskva,RUS,1,1554.22668457,2025-08-31,2025-11-06
None,Twente,NED,1,1552.87878418,2025-10-27,2025-11-06
None,Reims,FRA,2,1552.53417969,2025-10-25,2025-11-06
None,Mjaellby,SWE,1,1551.39794922,2025-10-27,2025-11-06
None,Millwall,ENG,2,1550.79724121,2025-10-26,2025-11-06
None,Paris FC,FRA,1,1549.91687012,2025-10-25,2025-10-29
None,Dinamo Zagreb,CRO,1,1549.35864258,2025-10-24,2025-11-06
None,Guimaraes,POR,1,1549.34997559,2025-10-27,2025-11-06
None,Almeria,ESP,2,1548.68151855,2025-10-27,2025-11-06
None,Sheffield United,ENG,2,1548.12878418,2025-10-25,2025-11-06
None,Famalicao,POR,1,1547.58813477,2025-10-27,2025-11-06
None,Lok Moskva,RUS,1,1545.93579102,2025-09-01,2025-11-06
None,AEK,GRE,1,1545.31213379,2025-10-27,2025-11-06
None,Angers,FRA,1,1544.98706055,2025-10-27,2025-10-29
None,Venezia,ITA,2,1544.24914551,2025-10-26,2025-11-06
None,Utrecht,NED,1,1541.50854492,2025-10-27,2025-11-06
None,Basel,SUI,1,1541.15356445,2025-10-27,2025-10-29
None,Shakhtar,UKR,1,1538.94592285,2025-10-27,2025-11-06
None,Santander,ESP,2,1538.54882812,2025-10-26,2025-11-06
None,Panathinaikos,GRE,1,1536.79150391,2025-10-27,2025-11-06
None,Jagiellonia,POL,1,1535.81298828,2025-10-27,2025-11-06
None,Heidenheim,GER,1,1535.71569824,2025-10-26,2025-11-06
None,Paphos,CYP,0,1534.87011719,2025-10-24,2025-11-05
None,Sturm Graz,AUT,1,1534.63647461,2025-10-27,2025-11-06
None,Aarhus,DEN,1,1534.01806641,2025-10-25,2025-11-06
None,Ferencvaros,HUN,1,1532.87756348,2025-10-27,2025-11-06
None,Elversberg,GER,2,1530.31274414,2025-10-26,2025-11-06
None,West Brom,ENG,2,1529.89672852,2025-10-26,2025-11-06
None,Metz,FRA,1,1529.81176758,2025-10-27,2025-10-29
None,Paderborn,GER,2,1529.47265625,2025-10-26,2025-11-06
None,Dynamo Moskva,RUS,1,1528.63293457,2025-09-01,2025-11-06
None,Southampton,ENG,2,1527.91296387,2025-10-26,2025-11-06
None,Pisa,ITA,1,1526.8548584,2025-10-25,2025-10-30
None,Saint-Etienne,FRA,2,1525.59179688,2025-10-26,2025-11-06
None,Cadiz,ESP,2,1525.57629395,2025-10-26,2025-11-06
None,Rakow,POL,1,1522.83178711,2025-10-27,2025-11-06
None,Empoli,ITA,2,1521.24182129,2025-10-25,2025-11-06
None,Monza,ITA,2,1519.43115234,2025-10-26,2025-11-06
None,Holstein,GER,2,1516.37805176,2025-10-26,2025-11-06
None,Stoke,ENG,2,1515.93078613,2025-10-26,2025-11-06
None,Swansea,ENG,2,1515.86364746,2025-10-26,2025-11-06
None,Nordsjaelland,DEN,1,1513.5670166,2025-10-25,2025-11-06
None,Hull,ENG,2,1513.08349609,2025-10-26,2025-11-06
None,Hammarby,SWE,1,1512.01269531,2025-10-24,2025-10-27
None,Rangers,SCO,1,1510.60522461,2025-10-27,2025-10-29
None,Trabzonspor,TUR,1,1510.55102539,2025-10-26,2025-11-06
None,Eibar,ESP,2,1507.12219238,2025-10-26,2025-11-06
None,Jablonec,CZE,1,1507.00500488,2025-10-26,2025-11-06
None,Gil Vicente,POR,1,1505.32141113,2025-10-25,2025-11-06
None,QPR,ENG,2,1504.38867188,2025-10-26,2025-11-06
None,Larnaca,CYP,0,1504.02709961,2025-10-24,2025-11-06
None,Nijmegen,NED,1,1503.63122559,2025-10-26,2025-11-06
None,Antwerp,BEL,1,1502.85766602,2025-10-27,2025-11-06
None,Lech,POL,1,1502.67224121,2025-10-27,2025-11-06
None,Salzburg,AUT,1,1502.10424805,2025-10-27,2025-11-06
None,Preston,ENG,2,1501.51501465,2025-10-25,2025-11-06
None,Granada,ESP,2,1501.2578125,2025-10-26,2025-11-06
None,M Tel Aviv,ISR,1,1500.02429199,2025-10-24,2025-10-27
None,Mirandes,ESP,2,1499.48876953,2025-10-26,2025-11-06
None,Mechelen,BEL,1,1498.10668945,2025-10-26,2025-11-06
None,Besiktas,TUR,1,1497.72009277,2025-10-27,2025-11-06
None,Depor,ESP,2,1496.31982422,2025-10-27,2025-11-06
None,Karlsruhe,GER,2,1495.33056641,2025-10-25,2025-11-06
None,Go Ahead Eagles,NED,1,1494.80187988,2025-10-27,2025-11-06
None,Burgos,ESP,2,1493.81347656,2025-10-26,2025-11-06
None,Djurgarden,SWE,1,1493.08825684,2025-10-26,2025-11-06
None,Troyes,FRA,2,1492.94262695,2025-10-25,2025-11-06
None,Young Boys,SUI,1,1492.78613281,2025-10-27,2025-11-06
None,Huesca,ESP,2,1491.23791504,2025-10-25,2025-11-06
None,Celje,SVN,1,1491.18615723,2025-10-27,2025-11-06
None,Gent,BEL,1,1489.75476074,2025-10-26,2025-11-06
None,Beer-Sheva,ISR,1,1489.3692627,2025-10-27,2025-11-06
None,Moreirense,POR,1,1487.8951416,2025-10-24,2025-10-27
None,Hannover,GER,2,1486.70678711,2025-10-27,2025-11-06
None,Bochum,GER,2,1486.67773438,2025-10-26,2025-11-06
None,Legia,POL,1,1486.00109863,2025-10-27,2025-11-06
None,Sparta Rotterdam,NED,1,1485.05822754,2025-10-26,2025-11-06
None,Charleroi,BEL,1,1484.58947754,2025-10-25,2025-11-06
None,Palermo,ITA,2,1483.45617676,2025-10-26,2025-11-06
None,Gijon,ESP,2,1482.7253418,2025-10-27,2025-11-06
None,Charlton,ENG,2,1481.70593262,2025-10-26,2025-11-06
None,Lautern,GER,2,1481.22839355,2025-10-27,2025-11-06
None,Blackburn,ENG,2,1480.46166992,2025-10-26,2025-11-06
None,Watford,ENG,2,1480.26477051,2025-10-26,2025-11-06
None,Samsunspor,TUR,1,1479.93554688,2025-10-24,2025-10-27
None,Cordoba,ESP,2,1478.94152832,2025-10-26,2025-11-06
None,Albacete,ESP,2,1478.9342041,2025-10-26,2025-11-06
None,Aris Limassol,CYP,0,1478.48181152,2025-10-24,2025-11-06
None,Frosinone,ITA,2,1477.52526855,2025-10-26,2025-11-06
None,Randers,DEN,1,1477.46875,2025-10-27,2025-11-06
None,Portsmouth,ENG,2,1477.43884277,2025-10-26,2025-11-06
None,Montpellier,FRA,2,1477.38024902,2025-10-26,2025-11-06
None,Darmstadt,GER,2,1475.94128418,2025-10-25,2025-11-06
None,Malmoe,SWE,1,1475.38244629,2025-10-24,2025-10-27
None,Omonia,CYP,0,1475.05773926,2025-10-24,2025-11-06
None,Norwich,ENG,2,1474.12390137,2025-10-26,2025-11-06
None,Derby,ENG,2,1472.48535156,2025-10-26,2025-11-06
None,Modena,ITA,2,1472.48474121,2025-10-25,2025-11-06
None,Schalke,GER,2,1472.35693359,2025-10-25,2025-11-06
None,Valladolid,ESP,2,1471.8918457,2025-10-27,2025-11-06
None,Westerlo,BEL,1,1468.72583008,2025-10-26,2025-11-06
None,Gornik,POL,1,1467.85876465,2025-10-27,2025-11-06
None,Arouca,POR,1,1467.82617188,2025-10-26,2025-11-06
None,Rio Ave,POR,1,1467.57788086,2025-10-26,2025-11-06
None,St Truiden,BEL,1,1467.33996582,2025-10-27,2025-11-06
None,Hertha,GER,2,1466.87890625,2025-10-26,2025-11-06
None,Oxford,ENG,2,1464.80664062,2025-10-26,2025-11-06
None,Santa Clara,POR,1,1464.25134277,2025-10-26,2025-11-06
None,Silkeborg,DEN,1,1461.70068359,2025-10-27,2025-11-06
None,Cracovia,POL,1,1461.25585938,2025-10-26,2025-11-06
None,Razgrad,BUL,1,1460.87109375,2025-10-24,2025-10-27
None,Bueyueksehir,TUR,1,1460.54956055,2025-10-27,2025-11-06
None,Ceuta,ESP,2,1457.49462891,2025-10-26,2025-11-06
None,Castellon,ESP,2,1456.99938965,2025-10-27,2025-11-06
None,Juve Stabia,ITA,2,1456.85705566,2025-10-27,2025-11-06
None,Spezia,ITA,2,1455.63134766,2025-10-26,2025-11-06
None,Pogon,POL,1,1454.75939941,2025-10-26,2025-11-06
None,Hearts,SCO,1,1454.5814209,2025-10-27,2025-10-29
None,Cesena,ITA,2,1453.88098145,2025-10-26,2025-11-06
None,Rubin Kazan,RUS,1,1453.67565918,2025-08-31,2025-11-06
None,Estoril,POR,1,1452.54760742,2025-10-27,2025-11-06
None,Duesseldorf,GER,2,1452.08789062,2025-10-26,2025-11-06
None,Cercle Brugge,BEL,1,1451.66601562,2025-10-27,2025-11-06
None,Wolfsberg,AUT,1,1449.62097168,2025-10-27,2025-11-06
None,Rosenborg,NOR,1,1448.8828125,2025-10-27,2025-11-06
None,Wrexham,ENG,2,1448.00170898,2025-10-26,2025-11-06
None,Annecy,FRA,2,1447.55725098,2025-10-26,2025-11-06
None,Casa Pia,POR,1,1446.86791992,2025-10-27,2025-11-06
None,Guingamp,FRA,2,1446.22167969,2025-10-25,2025-11-06
None,Malaga,ESP,2,1445.8059082,2025-10-27,2025-11-06
None,Dynamo Kyiv,UKR,1,1444.94030762,2025-10-27,2025-11-06
None,Andorra CF,ESP,2,1443.83666992,2025-10-27,2025-11-06
None,Catanzaro,ITA,2,1442.74707031,2025-10-26,2025-11-06
None,Birmingham,ENG,2,1442.30102539,2025-10-26,2025-11-06
None,Craiova,ROM,1,1442.12683105,2025-10-24,2025-11-06
None,Dunkerque,FRA,2,1442.0982666,2025-10-25,2025-11-06
None,Tromso,NOR,1,1441.65075684,2025-10-27,2025-11-06
None,Lausanne,SUI,1,1440.30212402,2025-10-27,2025-10-29
None,Standard,BEL,1,1438.76831055,2025-10-26,2025-11-06
None,Goeztepe,TUR,1,1438.75866699,2025-10-27,2025-11-06
None,Carrarese,ITA,2,1437.78063965,2025-10-26,2025-11-06
None,Viborg,DEN,1,1436.93127441,2025-10-27,2025-11-06
None,Red Star,FRA,2,1436.55065918,2025-10-25,2025-11-06
None,Heerenveen,NED,1,1434.50866699,2025-10-25,2025-11-06
None,Baltika,RUS,1,1433.69958496,2025-09-01,2025-11-06
None,Zwolle,NED,1,1433.6776123,2025-10-26,2025-11-06
None,Austria Wien,AUT,1,1433.30822754,2025-10-27,2025-11-06
None,Elfsborg,SWE,1,1433.17919922,2025-10-27,2025-11-06
None,Groningen,NED,1,1433.06970215,2025-10-26,2025-11-06
None,Sheffield Weds,ENG,2,1432.06848145,2025-10-26,2025-11-06
None,Banik Ostrava,CZE,1,1432.01220703,2025-10-27,2025-11-06
None,StGallen,SUI,1,1430.72497559,2025-10-26,2025-10-28
None,Slovan Liberec,CZE,1,1430.58618164,2025-10-26,2025-11-06
None,Suedtirol,ITA,2,1429.70922852,2025-10-26,2025-11-06
None,Rostov,RUS,1,1428.76647949,2025-08-31,2025-11-06
None,Alanyaspor,TUR,1,1428.52038574,2025-10-26,2025-11-06
None,Leonesa,ESP,2,1428.16772461,2025-10-26,2025-11-06
None,GAIS,SWE,1,1428.05371094,2025-10-24,2025-10-27
None,Steaua,ROM,1,1426.89770508,2025-10-27,2025-11-06
None,Nacional,POR,1,1426.80700684,2025-10-27,2025-11-06
None,Korona,POL,1,1426.59399414,2025-10-26,2025-11-06
None,Hradec Kralove,CZE,1,1426.58410645,2025-10-26,2025-11-06
None,Pau,FRA,2,1426.27954102,2025-10-25,2025-11-06
None,Rodez,FRA,2,1425.22705078,2025-10-26,2025-11-06
None,Molde,NOR,1,1423.63842773,2025-10-27,2025-11-06
None,Levski,BUL,1,1420.56652832,2025-10-26,2025-11-06
None,Hajduk,CRO,1,1419.8692627,2025-10-24,2025-11-06
None,Reggiana,ITA,2,1417.51855469,2025-10-26,2025-11-06
None,Kasimpasa,TUR,1,1417.42712402,2025-10-27,2025-11-06
None,Nuernberg,GER,2,1417.37304688,2025-10-27,2025-11-06
None,Sociedad B,ESP,2,1417.34924316,2025-10-26,2025-11-06
None,Aris,GRE,1,1416.6628418,2025-10-27,2025-11-06
None,Clermont,FRA,2,1414.79418945,2025-10-25,2025-11-06
None,AIK,SWE,1,1414.31530762,2025-10-27,2025-11-06
None,Sampdoria,ITA,2,1414.13061523,2025-10-26,2025-11-06
None,Servette,SUI,1,1413.60095215,2025-10-27,2025-10-29
None,Maccabi Haifa,ISR,1,1412.5012207,2025-10-26,2025-11-06
None,Sittard,NED,1,1411.50012207,2025-10-26,2025-11-06
None,Bari,ITA,2,1409.66162109,2025-10-27,2025-11-06
None,Konyaspor,TUR,1,1408.82751465,2025-10-27,2025-11-06
None,Gaziantep FK,TUR,1,1407.96142578,2025-10-24,2025-10-27
None,Amiens,FRA,2,1407.4901123,2025-10-26,2025-11-06
None,Grenoble,FRA,2,1407.31347656,2025-10-25,2025-11-06
None,Hibernian,SCO,1,1407.17236328,2025-10-27,2025-10-29
None,Muenster,GER,2,1407.12011719,2025-10-27,2025-11-06
None,SonderjyskE,DEN,1,1406.32202148,2025-10-27,2025-11-06
None,Rapid Bucuresti,ROM,1,1406.13745117,2025-10-24,2025-10-27
None,Le Mans,FRA,2,1406.06494141,2025-10-25,2025-11-06
None,Haecken,SWE,1,1404.60144043,2025-10-27,2025-11-01
None,Laval,FRA,2,1403.53686523,2025-10-25,2025-11-06
None,Fredrikstad,NOR,1,1402.83374023,2025-10-27,2025-11-06
None,Rapid Wien,AUT,1,1402.5982666,2025-10-27,2025-11-06
None,Luzern,SUI,1,1402.31799316,2025-10-26,2025-11-06
None,Bastia,FRA,2,1401.78051758,2025-10-25,2025-11-06
None,Paksi,HUN,1,1400.88195801,2025-10-24,2025-11-06
None,Partizan,SRB,1,1399.8692627,2025-10-25,2025-11-06
None,Sandefjord,NOR,1,1399.00146484,2025-10-27,2025-11-06
None,Kryliya Sovetov,RUS,1,1398.45568848,2025-09-01,2025-11-06
None,KFUM Oslo,NOR,1,1398.30285645,2025-10-26,2025-11-06
None,Leuven,BEL,1,1398.2755127,2025-10-26,2025-11-06
None,Magdeburg,GER,2,1397.88623047,2025-10-27,2025-11-06
None,Piast Gliwice,POL,1,1395.29370117,2025-10-26,2025-11-06
None,Goeteborg,SWE,1,1394.50854492,2025-10-27,2025-11-06
None,Sigma Olomouc,CZE,1,1393.8046875,2025-10-27,2025-11-06
None,Puskas Akademia,HUN,1,1392.01843262,2025-10-26,2025-11-06
None,Lugano,SUI,1,1391.92138672,2025-10-27,2025-11-06
None,Zaragoza,ESP,2,1391.29443359,2025-10-27,2025-11-06
None,Rijeka,CRO,1,1390.83300781,2025-10-24,2025-11-06
None,Alverca,POR,1,1389.55004883,2025-10-25,2025-11-06
None,Rizespor,TUR,1,1388.41308594,2025-10-24,2025-10-27
None,Sarpsborg,NOR,1,1388.07836914,2025-10-26,2025-11-06
None,LASK,AUT,1,1387.60229492,2025-10-26,2025-11-06
None,Radomiak,POL,1,1386.99108887,2025-10-24,2025-10-27
None,Terek Grozny,RUS,1,1385.68798828,2025-08-31,2025-11-06
None,Gyoer,HUN,1,1385.515625,2025-10-27,2025-11-06
None,Zulte Waregem,BEL,1,1384.68640137,2025-10-27,2025-11-06
None,Zuerich,SUI,1,1384.53796387,2025-10-27,2025-10-29
None,Lubin,POL,1,1383.58032227,2025-10-25,2025-11-06
None,Avellino,ITA,2,1382.06384277,2025-10-26,2025-11-06
None,Padova,ITA,2,1381.30102539,2025-10-27,2025-11-06
None,CFR Cluj,ROM,1,1379.50744629,2025-10-26,2025-11-06
None,Fuerth,GER,2,1379.3939209,2025-10-25,2025-11-06
None,Estrela Amadora,POR,1,1378.95703125,2025-10-26,2025-11-06
None,IK Sirius,SWE,1,1377.22888184,2025-10-27,2025-11-06
None,Slovan Bratislava,SLK,0,1375.46777344,2025-10-24,2025-11-06
None,Nancy,FRA,2,1374.91564941,2025-10-26,2025-11-06
None,Bielefeld,GER,2,1373.96923828,2025-10-26,2025-11-06
None,Widzew,POL,1,1373.7956543,2025-10-25,2025-11-06
None,Plock,POL,1,1372.09692383,2025-10-24,2025-10-27
None,Katowice,POL,1,1370.58435059,2025-10-26,2025-11-06
None,Levadeiakos,GRE,1,1369.57958984,2025-10-27,2025-11-06
None,Sion,SUI,1,1369.56762695,2025-10-26,2025-10-28
None,Tondela,POR,1,1367.95935059,2025-10-27,2025-11-06
None,Odense,DEN,1,1365.984375,2025-10-24,2025-10-27
None,Mantova,ITA,2,1363.95629883,2025-10-27,2025-11-06
None,Entella,ITA,2,1363.5958252,2025-10-26,2025-11-06
None,Pescara,ITA,2,1363.30090332,2025-10-26,2025-11-06
None,Boulogne,FRA,2,1362.56604004,2025-10-25,2025-11-06
None,Bohemians Praha,CZE,1,1361.66210938,2025-10-24,2025-10-28
None,Eyupspor,TUR,1,1361.31604004,2025-10-26,2025-11-06
None,Kayseri,TUR,1,1360.98181152,2025-10-25,2025-11-06
None,Hartberg,AUT,1,1360.65759277,2025-10-26,2025-11-06
None,Braunschweig,GER,2,1358.78820801,2025-10-27,2025-11-06
None,Maribor,SVN,1,1356.91760254,2025-10-26,2025-11-06
None,FK Astana,KAZ,0,1355.50500488,2025-10-22,2025-11-06
None,Lechia,POL,1,1355.3638916,2025-10-27,2025-11-06
None,Valerenga,NOR,1,1353.04919434,2025-10-27,2025-11-06
None,Ham-Kam,NOR,1,1351.95959473,2025-10-27,2025-11-06
None,RAAL,BEL,1,1351.31542969,2025-10-27,2025-11-06
None,Heracles,NED,1,1350.72460938,2025-10-26,2025-11-06
None,Akron Togliatti,RUS,1,1349.95239258,2025-09-01,2025-11-06
None,Dender,BEL,1,1349.88452148,2025-10-26,2025-11-06
None,Grasshoppers,SUI,1,1349.6517334,2025-10-26,2025-11-06
None,Istra 1961,CRO,1,1349.54626465,2025-10-24,2025-11-06
None,Volendam,NED,1,1349.26098633,2025-10-26,2025-11-06
None,Thun,SUI,1,1349.22888184,2025-10-26,2025-10-28
None,Dynamo Makhachkala,RUS,1,1348.7668457,2025-09-01,2025-11-06
None,Vejle,DEN,1,1348.75952148,2025-10-27,2025-11-06
None,Orenburg,RUS,1,1347.84301758,2025-08-31,2025-11-06
None,Atromitos,GRE,1,1347.09094238,2025-10-26,2025-11-06
None,Kocaelispor,TUR,1,1347.08435059,2025-10-26,2025-11-06
None,Breda,NED,1,1346.56567383,2025-10-25,2025-11-06
None,Fredericia,DEN,1,1345.80688477,2025-10-27,2025-11-06
None,Motor Lublin,POL,1,1342.50097656,2025-10-25,2025-11-06
None,Botosani,ROM,1,1341.6295166,2025-10-24,2025-10-27
None,Kristiansund,NOR,1,1341.18640137,2025-10-27,2025-11-06
None,Lok Zagreb,CRO,1,1340.78210449,2025-10-24,2025-11-06
None,Karvina,CZE,1,1339.77722168,2025-10-26,2025-11-06
None,Dinamo Bucuresti,ROM,1,1339.67016602,2025-10-24,2025-11-06
None,Dresden,GER,2,1339.57507324,2025-10-26,2025-11-06
None,Antalyaspor,TUR,1,1338.96313477,2025-10-27,2025-11-06
